Step,Time step,Time
1,0.001,0.001
2,0.0005,0.0015
3,0.00025,0.00175
4,0.00025,0.002
5,0.00025,0.00225
6,0.0005,0.00275
7,0.0005,0.00325
8,0.0005,0.00375
9,0.001,0.00475
10,0.002,0.00675
11,0.002,0.00875
12,0.002,0.01075
13,0.002,0.01275
14,0.002,0.01475
15,0.004,0.01875
16,0.004,0.02275
17,0.004,0.02675
18,0.004,0.03075
19,0.004,0.03475
20,0.004,0.03875
21,0.004,0.04275
22,0.004,0.04675
23,0.004,0.05075
24,0.008,0.05875
25,0.008,0.06675
26,0.008,0.07475
27,0.008,0.08275
28,0.008,0.09075
29,0.008,0.09875
30,0.008,0.10675
31,0.008,0.11475
32,0.008,0.12275
33,0.008,0.13075
34,0.008,0.13875
35,0.008,0.14675
36,0.008,0.15475
37,0.008,0.16275
38,0.016,0.17875
39,0.016,0.19475
40,0.016,0.21075
41,0.016,0.22675
42,0.016,0.24275
43,0.016,0.25875
44,0.016,0.27475
45,0.016,0.29075
46,0.016,0.30675
47,0.016,0.32275
48,0.016,0.33875
49,0.016,0.35475
50,0.016,0.37075
51,0.016,0.38675
52,0.016,0.40275
53,0.016,0.41875
54,0.016,0.43475
55,0.016,0.45075
56,0.016,0.46675
57,0.016,0.48275
58,0.016,0.49875
59,0.016,0.51475
60,0.016,0.53075
61,0.016,0.54675
62,0.016,0.56275
63,0.016,0.57875
64,0.016,0.59475
65,0.016,0.61075
66,0.016,0.62675
67,0.016,0.64275
68,0.016,0.65875
69,0.016,0.67475
70,0.016,0.69075
71,0.016,0.70675
72,0.016,0.72275
73,0.016,0.73875
74,0.016,0.75475
75,0.032,0.78675
76,0.032,0.81875
77,0.032,0.85075
78,0.032,0.88275
79,0.032,0.91475
80,0.032,0.94675
81,0.032,0.97875
82,0.032,1.01075
83,0.032,1.04275
84,0.032,1.07475
85,0.032,1.10675
86,0.032,1.13875
87,0.032,1.17075
88,0.032,1.20275
89,0.032,1.23475
90,0.032,1.26675
91,0.032,1.29875
92,0.032,1.33075
93,0.032,1.36275
94,0.032,1.39475
95,0.032,1.42675
96,0.032,1.45875
97,0.032,1.49075
98,0.032,1.52275
99,0.032,1.55475
100,0.032,1.58675
101,0.032,1.61875
102,0.032,1.65075
103,0.032,1.68275
104,0.032,1.71475
105,0.032,1.74675
106,0.032,1.77875
107,0.032,1.81075
108,0.032,1.84275
109,0.032,1.87475
110,0.032,1.90675
111,0.032,1.93875
112,0.032,1.97075
113,0.032,2.00275
114,0.032,2.03475
115,0.064,2.09875
116,0.064,2.16275
117,0.064,2.22675
118,0.064,2.29075
119,0.064,2.35475
120,0.064,2.41875
121,0.064,2.48275
122,0.064,2.54675
123,0.064,2.61075
124,0.064,2.67475
125,0.064,2.73875
126,0.064,2.80275
127,0.064,2.86675
128,0.064,2.93075
129,0.064,2.99475
130,0.064,3.05875
131,0.064,3.12275
132,0.064,3.18675
133,0.064,3.25075
134,0.064,3.31475
135,0.064,3.37875
136,0.064,3.44275
137,0.064,3.50675
138,0.064,3.57075
139,0.064,3.63475
140,0.064,3.69875
141,0.064,3.76275
142,0.064,3.82675
143,0.064,3.89075
144,0.064,3.95475
145,0.064,4.01875
146,0.0401046,4.05885
147,0.0401046,4.09896
148,0.0401046,4.13906
149,0.0401046,4.17917
150,0.0401046,4.21927
151,0.0401046,4.25938
152,0.0401046,4.29948
153,0.0401046,4.33959
154,0.0401046,4.37969
155,0.0274174,4.40711
156,0.0274174,4.43453
157,0.0274174,4.46194
158,0.0274174,4.48936
159,0.0274174,4.51678
160,0.0274174,4.5442
161,0.0274174,4.57161
162,0.0274174,4.59903
163,0.0274174,4.62645
164,0.0274174,4.65387
165,0.0274174,4.68128
166,0.0548349,4.73612
167,0.0548349,4.79095
168,0.0548349,4.84579
169,0.0548349,4.90062
170,0.0548349,4.95546
171,0.0548349,5.01029
172,0.0548349,5.06513
173,0.0548349,5.11996
174,0.0548349,5.1748
175,0.0344411,5.20924
176,0.0344411,5.24368
177,0.0344411,5.27812
178,0.0344411,5.31256
179,0.0344411,5.347
180,0.0344411,5.38144
181,0.0344411,5.41589
182,0.0344411,5.45033
183,0.0344411,5.48477
184,0.0344411,5.51921
185,0.0344411,5.55365
186,0.0344411,5.58809
187,0.0344411,5.62253
188,0.0344411,5.65697
189,0.0344411,5.69141
190,0.0344411,5.72586
191,0.0344411,5.7603
192,0.0344411,5.79474
193,0.0344411,5.82918
194,0.0344411,5.86362
195,0.0344411,5.89806
196,0.0344411,5.9325
197,0.0344411,5.96694
198,0.0344411,6.00138
199,0.0344411,6.03583
200,0.0344411,6.07027
201,0.0344411,6.10471
202,0.0344411,6.13915
