Step,Time step,Time
1,0.001,0.001
2,0.0005,0.0015
3,0.00025,0.00175
4,0.000125,0.001875
5,0.00012486,0.00199986
6,0.0001,0.00209986
7,0.000138242,0.0022381
8,0.0001,0.0023381
9,0.0001,0.0024381
10,0.000164894,0.002603
11,0.000164894,0.00276789
12,0.00027511,0.003043
13,0.00027511,0.00331811
14,0.000335169,0.00365328
15,0.000335169,0.00398845
16,0.000335169,0.00432362
17,0.000670338,0.00499395
18,0.00134068,0.00633463
19,0.00134068,0.00767531
20,0.00134068,0.00901598
21,0.00134068,0.0103567
22,0.00134068,0.0116973
23,0.00134068,0.013038
24,0.00268135,0.0157194
25,0.00268135,0.0184007
26,0.00268135,0.0210821
27,0.00268135,0.0237634
28,0.00268135,0.0264448
29,0.0053627,0.0318075
30,0.0053627,0.0371702
31,0.0053627,0.0425329
32,0.0053627,0.0478956
33,0.0053627,0.0532583
34,0.0105919,0.0638501
35,0.0105919,0.074442
36,0.0105919,0.0850339
37,0.0105919,0.0956258
38,0.0105919,0.106218
39,0.0160357,0.122253
40,0.0160357,0.138289
41,0.0160357,0.154325
42,0.0160357,0.17036
43,0.0220871,0.192447
44,0.0220871,0.214534
45,0.0239952,0.23853
46,0.0262466,0.264776
47,0.0276933,0.29247
48,0.0307184,0.323188
49,0.0319494,0.355137
50,0.0345386,0.389676
51,0.0373591,0.427035
52,0.0383255,0.465361
53,0.0425663,0.507927
54,0.0428954,0.550822
55,0.0458913,0.596714
56,0.0482138,0.644927
57,0.0487941,0.693721
58,0.0528022,0.746524
59,0.0523034,0.798827
60,0.0546084,0.853435
61,0.053882,0.907317
62,0.0528736,0.960191
63,0.0515019,1.01169
64,0.0493274,1.06102
65,0.0475928,1.10861
66,0.044377,1.15299
67,0.0399622,1.19295
68,0.0399622,1.23291
69,0.0399622,1.27288
70,0.0399622,1.31284
71,0.0399622,1.3528
72,0.0399622,1.39276
73,0.0399622,1.43273
74,0.0399622,1.47269
75,0.0399622,1.51265
76,0.0399622,1.55261
77,0.0399622,1.59257
78,0.0399622,1.63254
79,0.0399622,1.6725
80,0.0399622,1.71246
81,0.0399622,1.75242
82,0.0199811,1.7724
83,0.0199811,1.79238
84,0.00999054,1.80238
85,0.00999054,1.81237
86,0.00999054,1.82236
87,0.00999054,1.83235
88,0.00999054,1.84234
89,0.0192572,1.86159
90,0.0192572,1.88085
91,0.0192572,1.90011
92,0.0255048,1.92561
93,0.0329196,1.95853
94,0.0329196,1.99145
95,0.0329196,2.02437
96,0.0329196,2.05729
97,0.0329196,2.09021
98,0.0329196,2.12313
99,0.0329196,2.15605
100,0.0329196,2.18897
101,0.0329196,2.22189
102,0.0329196,2.25481
103,0.0329196,2.28773
104,0.0329196,2.32065
105,0.0329196,2.35357
106,0.0329196,2.38649
107,0.0329196,2.41941
108,0.0329196,2.45233
109,0.0329196,2.48525
110,0.0329196,2.51817
111,0.0329196,2.55109
112,0.0329196,2.58401
113,0.0329196,2.61693
114,0.0164598,2.63339
115,0.0164598,2.64985
116,0.0164598,2.66631
117,0.0164598,2.68277
118,0.0164598,2.69923
119,0.0164598,2.71569
120,0.0164598,2.73214
121,0.0164598,2.7486
122,0.0164598,2.76506
123,0.0164598,2.78152
124,0.0241924,2.80572
125,0.0265124,2.83223
126,0.0265124,2.85874
127,0.0292131,2.88795
128,0.0295768,2.91753
129,0.0295768,2.94711
130,0.0295768,2.97668
131,0.0295768,3.00626
132,0.0295768,3.03584
133,0.0295768,3.06542
134,0.0295768,3.09499
135,0.0295768,3.12457
136,0.0295768,3.15415
137,0.0295768,3.18372
138,0.0295768,3.2133
139,0.0295768,3.24288
140,0.0295768,3.27245
141,0.0295768,3.30203
142,0.0295768,3.33161
143,0.0295768,3.36118
144,0.0295768,3.39076
145,0.0295768,3.42034
146,0.0295768,3.44991
147,0.0295768,3.47949
148,0.0295768,3.50907
149,0.0295768,3.53864
150,0.0295768,3.56822
151,0.0295768,3.5978
152,0.0295768,3.62737
153,0.0295768,3.65695
154,0.0295768,3.68653
155,0.0295768,3.71611
156,0.0295768,3.74568
157,0.0295768,3.77526
158,0.0295768,3.80484
159,0.0295768,3.83441
160,0.0295768,3.86399
161,0.0295768,3.89357
162,0.0147884,3.90835
163,0.0147884,3.92314
164,0.0147884,3.93793
165,0.0147884,3.95272
166,0.0147884,3.96751
167,0.0147884,3.9823
168,0.0147884,3.99708
169,0.0147884,4.01187
170,0.0216942,4.03357
171,0.0249294,4.0585
172,0.0249294,4.08343
173,0.0303413,4.11377
174,0.0312688,4.14504
175,0.0300912,4.17513
176,0.0300912,4.20522
177,0.0300912,4.23531
178,0.0300912,4.2654
179,0.0300912,4.29549
